id_special_module,local_name_ru,local_name_en,description_ru,complited_tech,base_mass_kg,compatible_slot_type,gas_harvester_volume_m3_per_second,gas_harvester_power_draw_kw,gas_harvester_radius_m,gas_harvester_cycle_seconds,mining_impact_hold_capacity_kg,observation_radius_m,observation_facts_at_half_radius_per_second,observation_rock_info_efficiency,observation_cloud_info_efficiency,observation_leviathan_info_efficiency,need_workforce_recovery_per_hour,need_health_recovery_per_hour,need_safety_recovery_per_hour,need_comfort_recovery_per_hour,need_creativity_recovery_per_hour,need_repair_recovery_per_hour,need_capital_connection_recovery_per_hour,cargo_van_capacity_units,passenger_seat_capacity,bulk_hold_capacity_l,liquid_tank_capacity_l,gas_cylinder_capacity_l,ship_dock_slots,ship_dock_max_class,docked_ship_mass_factor,dock_support_claudium_per_ton_hour,gas_harvester_water_only,mining_impact_damage_taken_multiplier,survey_paper_to_info_efficiency,leviathan_alarm_generation_multiplier,harpoon_weapon_cost_per_minute,harpoon_max_carcass_mass_kg,harpoon_flight_damage,harpoon_range_m,refrigerated_hold_capacity_l,refrigerated_hold_power_draw_kw
starter_cargo_rack,Cargo Rack,Cargo Rack,Optional cargo utility module for assembly tests,,120,utility,,,,,,,,,,,,,,,,,,250,,,,,,,,,,,,,,,,,,
starter_gas_harvester,Gas Harvester I,Gas Harvester I,Starter cloud condensate harvester,,95,utility,12,22,22,5,,,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,
starter_mining_hold,Impact Ore Hold I,Impact Ore Hold I,Starter ore fragment collector,,55,utility,,,,,60,,,,,,,,,,,,,25,,60,,,,,,,,1,,,,,,,,
starter_observation_post,Observation Post I,Observation Post I,Starter scout observation module,,80,utility,,,,,,550,2,0.75,0.7,0.45,,,,,,,,35,,,,,,,,,,,1,1,,,,,,
water_strider_harvester,Water Strider Harvester,Water Strider Harvester,Collects cloud condensate as water,bearing_skin,95,utility,12,22,22,5,,,,,,,,,,,,,,,,,1000,,,,,,1,,,,,,,,,
bulat_impact_hold,Bulat Impact Hold,Bulat Impact Hold,Ore hold with impact damping,ore_collector,175,utility,,,,,3000,,,,,,,,,,,,,100,,3000,,,,,,,,0.5,,,,,,,,
hornet_observation_suite,Hornet Observation Suite,Hornet Observation Suite,R1 scout instruments,continuous_observations,140,utility,,,,,,700,2.6,0.2,0.2,0.2,,,,,,,,250,,,,,,,,,,,0.2,0.5,,,,,,
hornet_observation_suite_mk2,Hornet Observation Suite II,Hornet Observation Suite II,Upgraded R1 scout instruments,reinforced_observation_suite,460,utility,,,,,,950,3.4,0.45,0.45,0.45,,,,,,,,250,,,,,,,,,,,0.45,0.25,,,,,,
jaeger_harpoon_fridge,Jaeger Harpoon Fridge,Jaeger Harpoon Fridge,Harpoon and refrigerated carcass hold,hunter_hull,260,utility,,,,,,,,,,,,,20,,,,,150,,,,,,,,,,,,,2,100,40,45,2500,70
jaeger_harpoon_fridge_mk2,Jaeger Harpoon Fridge II,Jaeger Harpoon Fridge II,Upgraded harpoon and efficient cold hold,reinforced_harpoon,330,utility,,,,,,,,,,,,,30,,,,,150,,,,,,,,,,,,,4,200,55,60,2500,55
opora_crane_platform,Opora Crane Platform,Opora Crane Platform,Repair crane and large van deck,support_platform,420,utility,,,,,,,,,,,,,,,,30,,6000,,,,,,,,,,,,,,,,,,
parovoz_passenger_cabin,Parovoz Passenger Cabin,Parovoz Passenger Cabin,R1 passenger cabin for 15 travelers,passenger_routes,220,utility,,,,,,,,,,,4,3,,5,,,8,250,15,,,,,,,,,,,,,,,,,
water_strider_harvester_mk2,Water Strider Harvester II,Water Strider Harvester II,Upgraded water-only cloud harvester and 1.5 t tank,water_strider_large_tank,150,utility,15,28,25,5,,,,,,,,,,,,,,120,,,1500,,,,,,1,,,,,,,,,
bulat_impact_hold_mk2,Bulat Impact Hold II,Bulat Impact Hold II,Shockproof 3 m3 ore hold with reinforced receiver,shockproof_bulk_hold,260,utility,,,,,3000,,,,,,,,,,,,,120,,3000,,,,,,,,0.45,,,,,,,,
opora_crane_platform_mk2,Opora Crane Platform II,Opora Crane Platform II,Improved repair crane and expanded van deck,crane_tackles,520,utility,,,,,,,,,,,,,,,,38,,14000,,,,,,,,,,,,,,,,,,
parovoz_passenger_cabin_mk2,Parovoz Passenger Cabin II,Parovoz Passenger Cabin II,Improved passenger cabin with better onboard service,cabin_standards,280,utility,,,,,,,,,,,5,4,,8,,,12,250,15,,,,,,,,,,,,,,,,,
